user_id,allotment_id,length,request_type
12,207,Full Day,Vacation
16,215,Full Day,Vacation
21,216,Full Day,Vacation
21,217,Full Day,Vacation
16,218,Full Day,Vacation
21,218,Full Day,Vacation
16,219,Full Day,Vacation
21,219,Full Day,Vacation
16,220,Full Day,Vacation
21,220,Full Day,Vacation
18,480,Full Day,Vacation
14,225,Full Day,Vacation
18,499,Full Day,Vacation
16,241,Full Day,Vacation
14,245,Full Day,Vacation
21,251,Full Day,Vacation
21,252,Full Day,Vacation
21,253,Full Day,Vacation
21,254,Full Day,Vacation
21,255,Full Day,Vacation
14,265,Full Day,Vacation
8,266,Full Day,Vacation
8,267,Full Day,Vacation
8,268,Full Day,Vacation
18,527,Full Day,Vacation
8,269,Full Day,Vacation
18,528,Full Day,Vacation
8,270,Full Day,Vacation
10,270,Full Day,Vacation
18,529,Full Day,Vacation
18,530,Full Day,Vacation
11,274,Full Day,Vacation
23,276,Full Day,Vacation
23,277,Full Day,Vacation
23,278,Full Day,Vacation
5,537,Full Day,Vacation
23,279,Full Day,Vacation
5,538,Full Day,Vacation
3,538,Full Day,Vacation
23,280,Full Day,Vacation
5,539,Full Day,Vacation
3,539,Full Day,Vacation
23,281,Full Day,Vacation
3,540,Full Day,Vacation
23,282,Full Day,Vacation
23,283,Full Day,Vacation
23,284,Full Day,Vacation
23,285,Full Day,Vacation
10,285,Full Day,Vacation
10,286,Full Day,Vacation
15,286,Full Day,Vacation
10,287,Full Day,Vacation
15,287,Full Day,Vacation
4,547,Full Day,Vacation
15,288,Full Day,Vacation
11,289,Full Day,Vacation
4,548,Full Day,Vacation
13,289,Full Day,Vacation
4,549,Full Day,Vacation
13,290,Full Day,Vacation
15,290,Full Day,Vacation
11,291,Full Day,Vacation
4,550,Full Day,Vacation
11,292,Full Day,Vacation
11,294,Full Day,Vacation
22,301,Full Day,Vacation
22,302,Full Day,Vacation
22,303,Full Day,Vacation
22,304,Full Day,Vacation
8,305,Full Day,Vacation
22,305,Full Day,Vacation
24,306,Full Day,Vacation
8,306,Full Day,Vacation
14,306,Full Day,Vacation
24,307,Full Day,Vacation
8,307,Full Day,Vacation
14,307,Full Day,Vacation
24,308,Full Day,Vacation
8,308,Full Day,Vacation
14,308,Full Day,Vacation
24,309,Full Day,Vacation
8,309,Full Day,Vacation
14,309,Full Day,Vacation
18,568,Full Day,Vacation
24,310,Full Day,Vacation
5,569,Full Day,Vacation
8,310,Full Day,Vacation
14,310,Full Day,Vacation
18,569,Full Day,Vacation
21,312,Full Day,Vacation
5,571,Full Day,Vacation
15,312,Full Day,Vacation
21,313,Full Day,Vacation
15,313,Full Day,Vacation
21,314,Full Day,Vacation
15,314,Full Day,Vacation
21,315,Full Day,Vacation
15,315,Full Day,Vacation
18,579,Full Day,Vacation
10,321,Full Day,Vacation
23,321,Full Day,Vacation
10,322,Full Day,Vacation
23,322,Full Day,Vacation
23,323,Full Day,Vacation
13,324,Full Day,Vacation
23,324,Full Day,Vacation
10,325,Full Day,Vacation
13,325,Full Day,Vacation
23,325,Full Day,Vacation
10,326,Full Day,Vacation
20,329,Full Day,Vacation
14,329,Full Day,Vacation
20,330,Full Day,Vacation
14,330,Full Day,Vacation
18,589,Full Day,Vacation
8,331,Full Day,Vacation
22,335,Full Day,Vacation
7,594,Full Day,Vacation
9,335,Full Day,Vacation
22,336,Full Day,Vacation
7,595,Full Day,Vacation
21,336,Full Day,Vacation
5,595,Full Day,Vacation
9,336,Full Day,Vacation
22,338,Full Day,Vacation
7,597,Full Day,Vacation
21,338,Full Day,Vacation
22,339,Full Day,Vacation
7,598,Full Day,Vacation
21,339,Full Day,Vacation
22,340,Full Day,Vacation
7,599,Full Day,Vacation
21,340,Full Day,Vacation
16,341,Full Day,Vacation
10,345,Full Day,Vacation
13,346,Full Day,Vacation
4,605,Full Day,Vacation
16,346,Full Day,Vacation
23,346,Full Day,Vacation
13,347,Full Day,Vacation
4,606,Full Day,Vacation
16,347,Full Day,Vacation
23,347,Full Day,Vacation
13,348,Full Day,Vacation
4,607,Full Day,Vacation
16,348,Full Day,Vacation
23,348,Full Day,Vacation
13,349,Full Day,Vacation
4,608,Full Day,Vacation
16,349,Full Day,Vacation
23,349,Full Day,Vacation
13,350,Full Day,Vacation
4,609,Full Day,Vacation
9,350,Full Day,Vacation
6,610,Full Day,Vacation
6,611,Full Day,Vacation
6,612,Full Day,Vacation
9,354,Full Day,Vacation
3,613,Full Day,Vacation
6,613,Full Day,Vacation
9,355,Full Day,Vacation
3,614,Full Day,Vacation
6,614,Full Day,Vacation
15,356,Full Day,Vacation
15,357,Full Day,Vacation
15,358,Full Day,Vacation
5,618,Full Day,Vacation
15,359,Full Day,Vacation
5,619,Full Day,Vacation
15,360,Full Day,Vacation
20,360,Full Day,Vacation
7,620,Full Day,Vacation
5,620,Full Day,Vacation
16,361,Full Day,Vacation
7,621,Full Day,Vacation
7,622,Full Day,Vacation
7,623,Full Day,Vacation
14,364,Full Day,Vacation
7,624,Full Day,Vacation
14,365,Full Day,Vacation
18,624,Full Day,Vacation
20,365,Full Day,Vacation
24,366,Full Day,Vacation
8,366,Full Day,Vacation
24,367,Full Day,Vacation
8,367,Full Day,Vacation
24,368,Full Day,Vacation
8,368,Full Day,Vacation
24,369,Full Day,Vacation
13,369,Full Day,Vacation
24,370,Full Day,Vacation
13,370,Full Day,Vacation
14,376,Full Day,Vacation
14,377,Full Day,Vacation
14,378,Full Day,Vacation
14,379,Full Day,Vacation
20,379,Full Day,Vacation
14,380,Full Day,Vacation
15,380,Full Day,Vacation
23,380,Full Day,Vacation
15,382,Full Day,Vacation
23,382,Full Day,Vacation
8,382,Full Day,Vacation
15,383,Full Day,Vacation
23,383,Full Day,Vacation
8,383,Full Day,Vacation
15,384,Full Day,Vacation
23,384,Full Day,Vacation
8,384,Full Day,Vacation
15,385,Full Day,Vacation
23,385,Full Day,Vacation
8,385,Full Day,Vacation
22,386,Full Day,Vacation
19,386,Full Day,Vacation
22,387,Full Day,Vacation
19,387,Full Day,Vacation
22,388,Full Day,Vacation
19,388,Full Day,Vacation
22,389,Full Day,Vacation
19,389,Full Day,Vacation
22,390,Full Day,Vacation
19,390,Full Day,Vacation
21,391,Full Day,Vacation
21,392,Full Day,Vacation
21,393,Full Day,Vacation
21,394,Full Day,Vacation
14,394,Full Day,Vacation
21,395,Full Day,Vacation
5,654,Full Day,Vacation
14,395,Full Day,Vacation
5,655,Full Day,Vacation
11,399,Full Day,Vacation
6,660,Full Day,Vacation
18,660,Full Day,Vacation
6,661,Full Day,Vacation
6,662,Full Day,Vacation
12,403,Full Day,Vacation
6,663,Full Day,Vacation
6,664,Full Day,Vacation
19,406,Full Day,Vacation
6,665,Full Day,Vacation
19,407,Full Day,Vacation
19,408,Full Day,Vacation
19,409,Full Day,Vacation
19,410,Full Day,Vacation
19,411,Full Day,Vacation
8,411,Full Day,Vacation
19,412,Full Day,Vacation
8,412,Full Day,Vacation
19,413,Full Day,Vacation
20,413,Full Day,Vacation
19,414,Full Day,Vacation
20,414,Full Day,Vacation
19,415,Full Day,Vacation
20,415,Full Day,Vacation
13,418,Full Day,Vacation
11,419,Full Day,Vacation
13,419,Full Day,Vacation
13,420,Full Day,Vacation
12,423,Full Day,Vacation
12,424,Full Day,Vacation
12,425,Full Day,Vacation
12,426,Full Day,Vacation
12,427,Full Day,Vacation
12,428,Full Day,Vacation
12,429,Full Day,Vacation
12,430,Full Day,Vacation
9,436,Full Day,Vacation
21,436,Full Day,Vacation
18,695,Full Day,Vacation
9,437,Full Day,Vacation
21,437,Full Day,Vacation
18,696,Full Day,Vacation
7,696,Full Day,Vacation
18,697,Full Day,Vacation
9,438,Full Day,Vacation
21,438,Full Day,Vacation
7,697,Full Day,Vacation
10,441,Full Day,Vacation
18,700,Full Day,Vacation
4,707,Full Day,Vacation
11,449,Full Day,Vacation
4,708,Full Day,Vacation
3,709,Full Day,Vacation
4,709,Full Day,Vacation
10,450,Full Day,Vacation
14,450,Full Day,Vacation
3,710,Full Day,Vacation
3,711,Full Day,Vacation
3,712,Full Day,Vacation
3,713,Full Day,Vacation
3,714,Full Day,Vacation
17,714,Full Day,Vacation
9,455,Full Day,Vacation
14,455,Full Day,Vacation
3,715,Full Day,Vacation
17,715,Full Day,Vacation
20,456,Full Day,Vacation
18,715,Full Day,Vacation
12,456,Full Day,Vacation
17,716,Full Day,Vacation
20,457,Full Day,Vacation
18,716,Full Day,Vacation
12,457,Full Day,Vacation
17,717,Full Day,Vacation
20,458,Full Day,Vacation
18,717,Full Day,Vacation
12,458,Full Day,Vacation
17,718,Full Day,Vacation
20,459,Full Day,Vacation
18,718,Full Day,Vacation
12,459,Full Day,Vacation
18,719,Full Day,Vacation
17,719,Full Day,Vacation
15,460,Full Day,Vacation
20,460,Full Day,Vacation
18,721,Full Day,Vacation
17,721,Full Day,Vacation
